Word,Mean Rank,peS2o Rank,peS2o P(w),Gutenberg Rank,Gutenberg P(w),Wikipedia Rank,Wikipedia P(w)
must,390.6666666666667,447,0.00024512000978735,99,0.0010508230229677733,626,0.00016203458835398597
called,393.6666666666667,858,0.00014002786146273308,200,0.00047564293976072087,123,0.0005656453145420129
side,394.0,669,0.00017401903243613253,209,0.0004566304535073476,304,0.00028820647903720904
6,397.0,119,0.0006993069166695959,734,0.00012002618390874132,338,0.00026945961780403395
One,398.3333333333333,522,0.0002143987244342879,342,0.00027380487858261345,331,0.0002765468505772243
due,399.3333333333333,130,0.000649576463023352,873,0.00010244457224837931,195,0.0004015259254650584
good,400.0,465,0.000238876565500312,107,0.0009420387500787604,628,0.00016188903758482595
By,401.6666666666667,513,0.00021864401961034573,320,0.0002874838758752469,372,0.0002445214004570438
best,402.0,601,0.00019309096442435544,266,0.0003555090149645269,339,0.0002680547026257781
few,403.0,647,0.00018106399997623623,183,0.0005184141818884069,379,0.00024154539315285477
right,404.6666666666667,541,0.0002071562055917598,170,0.0005586456373650897,503,0.0001941658935790101
above,406.6666666666667,237,0.00042129049937644834,306,0.0003045132367294555,677,0.0001501492394498493
important,410.6666666666667,163,0.0005533381113516622,626,0.00014516918966453612,443,0.00021555640822101956
If,416.6666666666667,358,0.0002985905623102227,163,0.0005989378939858613,729,0.00013879122020403302
take,418.3333333333333,715,0.0001644120714427123,158,0.0006377079167815711,382,0.0002413301803845513
seen,422.0,440,0.0002473424619396246,219,0.0004367891184969923,607,0.0001651440820587683
single,422.3333333333333,321,0.0003316834922054112,716,0.00012358037306733948,230,0.0003514284404050811
our,425.0,67,0.0011434135625630298,74,0.0014113838884328568,1134,9.661730108014686e-05
various,435.0,328,0.00032829013702105863,631,0.00014312967356696794,346,0.0002623934003825405
he,436.6666666666667,1277,9.71376216629342e-05,12,0.008100754744007534,21,0.0037518804677773667
period,438.0,356,0.0002996318223000847,643,0.00013974497153541513,315,0.00028172713477051057
until,443.3333333333333,976,0.0001244778987880453,250,0.0003806863591902993,104,0.0006552808487806335
women,443.6666666666667,500,0.00022371141630013843,392,0.0002391532669613721,439,0.00021714851569864965
having,448.6666666666667,783,0.0001529417489456952,223,0.00042774581465133385,340,0.00026707320786689687
place,451.3333333333333,1025,0.00011834146145648717,151,0.0006603577605978919,178,0.0004392963500620845
possible,455.3333333333333,242,0.0004172489289810157,402,0.0002337334592779363,722,0.00013960186793708204
human,456.3333333333333,263,0.0003957312707122573,432,0.0002159344756516611,674,0.00015176858905004945
common,464.6666666666667,399,0.0002696647302005491,485,0.00019381325525389445,510,0.00019153391536556294
result,466.6666666666667,197,0.0004891370248028304,750,0.00011836061059891076,453,0.0002125360351743593
body,467.3333333333333,532,0.00021034377816942027,331,0.00027977756713587194,539,0.0001815753628734885
public,468.0,725,0.00016316914449829206,462,0.00020314764851477577,217,0.00037511780101882387
either,471.0,391,0.00027494099623613427,375,0.0002503917126309192,647,0.00015804478491701122
five,472.3333333333333,732,0.00016234292733242333,433,0.00021571899387675585,252,0.00033061740462745476
across,479.0,461,0.00023946407484241793,480,0.00019539660525487958,496,0.00019644489171858525
least,480.6666666666667,424,0.000255410169034988,356,0.000263579260261488,662,0.0001536560789709749
taken,482.0,640,0.00018419601125008983,253,0.0003736693401051535,553,0.0001779688950183924
C,483.6666666666667,82,0.0009486897131545726,576,0.00015933176082336776,793,0.00012862017915591214
We,484.0,45,0.0016789617675661607,144,0.0006914428968189835,1263,8.824346177529063e-05
considered,487.0,250,0.0004120354266404716,808,0.00011119363636046828,403,0.0002297861363588995
field,491.0,194,0.0004911145956531415,807,0.00011131586871231514,472,0.00020513863137704984
position,493.0,594,0.00019371963028779976,489,0.0001919249544369615,396,0.00023543809844582737
just,494.0,1002,0.00012094564034417557,160,0.0006197208591500058,320,0.0002803704770665217
next,495.6666666666667,856,0.0001400772492883392,287,0.0003192195528349048,344,0.00026499502308798104
12,501.6666666666667,167,0.0005484291672690223,1047,8.708771540436371e-05,291,0.0002966499803412087
With,502.0,705,0.00016658513576938076,353,0.0002671797590997807,448,0.00021415655229409816
death,503.3333333333333,983,0.0001235354144493955,285,0.00031981716822524874,242,0.000340143974890204
together,503.3333333333333,765,0.00015549242435564364,300,0.0003108630183887982,445,0.00021455545480315971
study,504.0,38,0.0018092890369494287,906,9.859456819703841e-05,568,0.00017441768975479558
received,504.3333333333333,885,0.00013593896106776126,440,0.00021211691987928986,188,0.00042075730730680095
7,507.6666666666667,193,0.0004918636443415007,962,9.358713718516839e-05,368,0.0002469646296783984
8,508.3333333333333,215,0.00045684150250857385,934,9.599902091130094e-05,376,0.00024279814161789787
her,510.0,1465,8.569919546995437e-05,26,0.004701698601940446,39,0.001749333442177288
light,510.3333333333333,507,0.0002207882743720773,258,0.0003656763523962409,766,0.00013271583769773054
change,511.3333333333333,278,0.00036989011987689806,599,0.00015360983761049607,657,0.0001544892987484391
thus,511.6666666666667,345,0.0003095927293770153,318,0.0002925045382241725,872,0.00011872272685303053
become,512.0,807,0.00014817376594863945,393,0.00023872671385724678,336,0.0002704422800824539
From,512.3333333333334,729,0.00016281416950174823,455,0.00020565530191864398,353,0.0002574454525774588
find,514.0,474,0.0002336784968552698,213,0.0004451636097576743,855,0.00012024906406331292
better,517.6666666666666,374,0.00028610470264918013,240,0.00039767413584233325,939,0.0001115245797236621
followed,518.6666666666666,552,0.00020476706952806463,467,0.00020145781775367664,537,0.00018249303323091988
species,520.6666666666666,318,0.0003353906658649692,1011,8.962466676885501e-05,233,0.00034804185539644334
later,522.0,1043,0.00011667873799441507,454,0.00020639373653907956,69,0.0008664796849099825
own,527.3333333333334,1235,9.921191033839047e-05,113,0.0008705627522726496,234,0.00034763906115558603
group,536.3333333333334,96,0.0008188511774621984,1341,6.904111675604825e-05,172,0.00044590373230486225
similar,543.3333333333334,195,0.0004910333115234981,952,9.409276327979258e-05,483,0.00020101183898086565
means,545.6666666666666,493,0.00022557066215160148,337,0.00027859304743756234,807,0.00012697397660632148
world,547.0,1160,0.00010513844941112266,198,0.00048724556223113125,283,0.00030463231142741526
able,547.3333333333334,598,0.00019331629637868328,438,0.00021381525649992472,606,0.00016552352590885127
rather,549.3333333333334,658,0.00017743605262025467,283,0.0003223682960222996,707,0.00014237628353425266
might,550.6666666666666,370,0.0002873321958980985,132,0.0007567345046789463,1150,9.476055584040762e-05
B,556.6666666666666,143,0.0006024707665254656,783,0.00011411744681791816,744,0.00013610436857226617
II,564.0,680,0.00017248800984234338,684,0.00013050855317511207,328,0.00027795448996773713
low,564.3333333333334,183,0.000511888349798708,608,0.0001503426424532703,902,0.00011593430102139533
others,566.3333333333334,962,0.0001259194059479234,261,0.0003612337734639105,476,0.00020344339300683311
example,568.0,261,0.00040237701999537833,994,9.088290391647432e-05,449,0.00021411413241752478
get,568.6666666666666,884,0.0001360624306317765,177,0.0005369553805171335,645,0.00015809887998897176
described,571.3333333333334,253,0.00041084497426075784,1111,8.207272362846192e-05,350,0.0002607059454759152
near,575.0,1135,0.00010782185460238752,293,0.0003160695495201713,297,0.0002937409108239061
fact,575.0,421,0.00025679714380409267,307,0.0003039493297454198,997,0.00010587806606124825
upon,576.0,961,0.00012594512877375989,75,0.0013972669968900504,692,0.00014610495176773443
main,577.3333333333334,325,0.0003294877917920066,1149,7.89983279540461e-05,258,0.0003279352230738428
history,579.0,922,0.00013077175981372286,542,0.00016828717078715694,273,0.0003169286272091802
full,580.0,801,0.00014879317159478266,295,0.00031288930314931084,644,0.00015818060635668194
per,587.3333333333334,334,0.0003244059903197454,972,9.248358066836558e-05,456,0.0002118386368365658
again,591.0,1345,9.31546993104088e-05,140,0.0007334706638168795,288,0.00029841098897877315
although,594.6666666666666,701,0.00016712119945981366,592,0.00015533463690524214,491,0.00019735555695878432
No,598.6666666666666,1107,0.0001106945797918091,188,0.0005125435636495772,501,0.00019500183756873132
help,598.6666666666666,793,0.00015129857483125886,424,0.00021992246364658168,579,0.0001717829873290914
hand,598.6666666666666,523,0.0002131084674903285,159,0.0006234936804018558,1114,9.735906516041157e-05
need,601.0,348,0.00030800511656638586,505,0.00018464456873804259,950,0.00011025743185097483
15,602.6666666666666,235,0.00042462623543092714,1275,7.195516122662375e-05,298,0.00029162925715154703
20,607.6666666666666,216,0.00045583316773578256,1328,6.947649075154396e-05,279,0.00031050804809259715
effect,610.0,121,0.0006813431240184099,572,0.00016077145630774938,1137,9.63908022896358e-05
short,613.0,918,0.00013119052741834128,413,0.00022823489363583632,508,0.0001926835329380194
according,613.6666666666666,349,0.00030790736982820707,661,0.00013645540911792872,831,0.00012389795179498238
down,618.3333333333334,1437,8.71684832817359e-05,104,0.0010017716212162037,314,0.00028206571543673846
However,620.0,93,0.0008309048936491875,1586,5.89963267080158e-05,181,0.0004294027894909986
9,626.6666666666666,294,0.00035941681410930416,1132,7.979472843205852e-05,454,0.0002125076255322505
